新鲜,1,1
鲜脆,1,1
新摘的,1,1
值得等,1,1
好吃,1,1
好喝,1,1
合口,1,1
味道正,1,1
口感丰富,1,1
清淡可口,1,1
口感好,1,1
感人,1,1
软硬适中,1,1
香喷可口,1,1
面柔软,1,1
不失嚼劲,1,1
不失嚼劲,1,1
爽,1,1
浓郁,1,1
大块,1,1
美味,1,1
香,1,1
可口,1,1
鲜美,1,1
好喝,1,1
好吃,1,1
脆,1,1
酥,1,1
一如既往,1,1
一直,1,1
保持,1,1
水平稳定,1,1
入味,1,1
解馋,1,1
合口味,1,1
清新可口,1,1
爽口,1,1
有营养,1,1
健康,1,1
适合我的口味,1,1
比期望的好,1,1
比想象的好,1,1
正宗,1,1
比..好喝得多,1,1
比..好吃,1,1
还不错,1,1
偏咸,1,-1
偏甜,1,-1
太酸,1,-1
太辣,1,-1
太淡,1,-1
偏淡,1,-1
希望改进,1,-1
一般,1,-1
太烂,1,-1
太糊,1,-1
普通,1,-1
抄袭,1,-1
掩盖,1,-1
差,1,-1
老,1,-1
过,1,-1
死,1,-1
难吃,1,-1
不入味,1,-1
没有以前的好吃,1,-1
不够,1,-1
失望,1,-1
太难吃,1,-1
没熟,1,-1
腻,1,-1
没有嚼劲,1,-1
味道怪,1,-1
腥,1,-1
难以下咽,1,-1
口干,1,-1
菜品丰富,1,1
菜品全,1,1
多元,1,1
口味独特,1,1
口味特别,1,1
有特色,1,1
只有这家才吃得到,1,1
明厨亮灶,1,1
看得见厨师在烹饪,1,1
上菜速度快,1,1
等了半天才上菜,1,-1
份量足,1,1
份量大,1,1
份量太小,1,-1
份量太少,1,-1
越来越少,1,-1
有虫子,1,-1
拉肚子,1,-1
地沟油,1,-1
没熟,1,-1
地沟油,1,-1
菜单精美,1,1
漂亮,1,1
衣着得体,2,1
整洁,2,1
整洁,2,1
挺拔,2,1
漂亮,2,1
热情,2,1
友善,2,1
主动,2,1
友好,2,1
微笑,2,1
亲切,2,1
专业,2,1
规范,2,1
响应速度,2,1
反应相当快,2,1
反应迅速,2,1
不理,2,-1
没理,2,-1
免费更换,2,1
免单,2,1
投诉后无人理睬,2,-1
强词夺理,2,-1
等位非常快,2,1
等了很久,2,-1
等的人多,2,-1
排很长的队,2,-1
菜单准确,2,1
上菜准确,2,1
账单准确,2,1
上菜上错了,2,-1
人性化,3,1
专门给儿童,3,1
专门给小孩,3,1
专门给老人,3,1
交通便利,3,1
很容易找,3,1
出地铁口就是,3,1
好找,3,1
方便,3,1
不好找,3,-1
干净卫生,3,1
卫生条件好,3,1
干净,3,1
脏,3,-1
没洗干净,3,-1
脏兮兮,3,-1
空间布置合理,3,1
温馨,3,1
感觉好,3,1
舒服,3,1
自在,3,1
地方大,3,1
灯光充足,3,1
敞亮,3,1
明亮,3,1
环境一级棒,3,1
宽敞,3,1
舒适,3,1
人太多,3,-1
拥挤,3,-1
空间狭小,3,-1
简陋,3,-1
很小的桌子,3,-1
很小的地方,3,-1
昏暗,3,-1
设施完好,3,1
温度舒适,3,1
专业餐具,3,1
花纹,3,1
餐具漂亮,3,1
空调太冷,3,-1
空调开太冷,3,-1
空调开太热,3,-1
免费wifi,3,1
信号太差,3,-1
信号不好,3,-1
没有信号,3,-1
停车方便,3,1
不担心车位,3,1
不好停,3,-1
找不到车位,3,-1
宁静,3,1
安静,3,1
嘈杂,3,-1
乱遭遭,3,-1
吵,3,-1
乱哄哄,3,-1
性价比高,4,1
性价比低,4,-1
划算,4,1
性价比差,4,-1
性价比一般,4,-1
不划算,4,-1
贵,4,-1
受欢迎,4,1
受尊重,4,1
面带微笑,4,1
温暖,4,1
亲切,4,1
反应迅速,4,1
欢迎,4,1
有心,4,1
态度好,4,1
积极,4,1
迅速,4,1
热情,4,1
周到,4,1
贴心,4,1
暖心,4,1
体贴,4,1
有眼力,4,1
礼貌,4,1
主动,4,1
素质好,4,1
素质高,4,1
效率高,4,1
上菜速度快,4,1
人性化,4,1
态度满意,4,1
诚恳,4,1
服务一级棒,4,1
十分认真,4,1
爱答不理,4,-1
冷漠,4,-1
态度恶劣,4,-1
重复,4,-1
差,4,-1
错,4,-1
没人理,4,-1
冷漠,4,-1
忙不过来,4,-1
慢,4,-1
心不在焉,4,-1
拽,4,-1
不理人,4,-1
等太久,4,-1
装作没听见,4,-1
推荐,4,1
再来,4,1
非常满意,4,1
满意,4,1
不满意,4,-1
太差了,4,-1
无力吐槽,4,-1
优惠,4,1
团购,4,1
促销,4,1
打折,4,1
券,4,1
优惠,4,1
搞活动,4,1
知名度高,5,1
知名度低,5,1
知名,5,1
著名,5,1
有名气,5,1
特地,5,1
下次还来,5,1
下次,5,1
不来了,5,-1
完全不会,5,-1
首选,5,1
首先想到这家,5,1
好评,5,1
差评,5,-1
一般,5,-1
环保,6,1
可持续发展,6,1
绿色,6,1
设计有特色,6,1
暖色调,6,1
可爱,6,1
耳目一新,6,1
有品位,6,1
有趣,6,1
别致,6,1
吸引人,6,1
明快,6,1
古典,6,1
环境不错,6,1
上档次,6,1
优雅,6,1
简陋,6,-1
破,6,-1
老旧,6,-1
文明,6,1
安静,6,1
有秩序,6,1
不文明,6,-1
嘈杂,6,-1
